id,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,label
0,Senior United States District Judge Robert E. Payne today ruled in favor of Trump campaign delegates who had argued..https://t.co/qVwfjgCHU7,FALSE,14207,NA,7/12/2016 0:56,FALSE,NA,7.53E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,5256,FALSE,FALSE,NA,NA,-1
1,Speech on Veterans' Reform:  https://t.co/XB7RMwesMK,FALSE,9666,NA,7/11/2016 22:18,FALSE,NA,7.53E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,3432,FALSE,FALSE,NA,NA,-1
2,Great poll- Florida! Thank you! https://t.co/4FuPpL5WOM,FALSE,25531,NA,7/11/2016 21:40,FALSE,NA,7.53E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,8810,FALSE,FALSE,NA,NA,-1
3,Thoughts and prayers with the victims; and their families- along with everyone at the Berrien County Courthouse in St. Joseph; Michigan.,FALSE,28850,NA,7/11/2016 19:51,FALSE,NA,7.53E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,9112,FALSE,FALSE,NA,NA,-1
4,Join me in Westfield; Indiana- tomorrow night at 7:30pm! #Trump2016   Tickets: https://t.co/Jj9TmSEoOd https://t.co/Rq6YRHlpib,FALSE,12567,NA,7/11/2016 11:57,FALSE,NA,7.52E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,4144,FALSE,FALSE,NA,NA,-1
5,I heard that the underachieving John King of @CNN on Inside Politics was one hour of lies. Happily; few people are watching - dead network!,FALSE,22978,NA,7/10/2016 18:58,FALSE,NA,7.52E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,6564,FALSE,FALSE,NA,NA,1
6,The media is so dishonest. If I make a statement; they twist it and turn it to make it sound bad or foolish.They think the public is stupid!,FALSE,44600,NA,7/10/2016 18:42,FALSE,NA,7.52E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,14520,FALSE,FALSE,NA,NA,1
7,President Obama thinks the nation is not as divided as people think. He is living in a world of the make believe!,FALSE,35167,NA,7/10/2016 18:27,FALSE,NA,7.52E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,11975,FALSE,FALSE,NA,NA,1
8,Look what is happening to our country under the WEAK leadership of Obama and people like Crooked Hillary Clinton. We are a divided nation!,FALSE,55495,NA,7/10/2016 12:02,FALSE,NA,7.52E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,19030,FALSE,FALSE,NA,NA,1
9,New poll - thank you! #Trump2016  https://t.co/Mi87Vmw06H https://t.co/WmqvcYG4r3,FALSE,24040,NA,7/9/2016 21:22,FALSE,NA,7.52E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,9147,FALSE,FALSE,NA,NA,-1
10,Way to go @serenawilliams  - you are a true champion. Proud of you!,FALSE,25035,NA,7/9/2016 15:18,FALSE,NA,7.52E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,5710,FALSE,FALSE,NA,NA,1
11,MAKE AMERICA SAFE AGAIN!  https://t.co/m0AJWlV8nm https://t.co/P0GleHEmJy,FALSE,39088,NA,7/8/2016 23:26,FALSE,NA,7.52E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,14639,FALSE,FALSE,NA,NA,-1
12,Isn't it sad that on a day of national tragedy Hillary Clinton is answering softball questions about her email lies on @CNN?,FALSE,42313,NA,7/8/2016 21:31,FALSE,NA,7.52E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,14074,FALSE,FALSE,NA,NA,-1
13,Due to the horrific events taking place in our country; I have decided to postpone my speech on economic opportunity- today in Miami.,FALSE,40857,NA,7/8/2016 14:32,FALSE,NA,7.51E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,8989,FALSE,FALSE,NA,NA,-1
14,Last night's horrific execution-style shootings of 12 Dallas law enforcement officers...https://t.co/mwzYU98yTt,FALSE,19591,NA,7/8/2016 13:20,FALSE,NA,7.51E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realDonaldTrump,7401,FALSE,FALSE,NA,NA,-1
15,Prayers and condolences to all of the families who are so thoroughly devastated by the horrors we are all watching take place in our country,FALSE,84236,NA,7/8/2016 11:02,FALSE,NA,7.51E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",realDonaldTrump,28851,FALSE,FALSE,NA,NA,1
